Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,230.0,230.7550048828125,230.0,230.7550048828125,133.3933868408203,249030
2000-01-04,238.10000610351562,238.10000610351562,225.0,228.10499572753906,131.8615264892578,585140
2000-01-05,220.0,225.0,210.5,219.99000549316406,127.17042541503906,802960
2000-01-06,222.49000549316406,236.0,221.0,228.82000732421875,132.2748260498047,1900320
2000-01-07,230.0,245.1999969482422,228.22500610351562,241.2949981689453,139.48626708984375,1925820
2000-01-10,244.5,249.89999389648438,241.0,243.125,140.544189453125,865910
2000-01-11,245.0,252.89999389648438,239.0,248.5800018310547,143.6975860595703,1344110
2000-01-12,250.0,268.4700012207031,249.0,264.7799987792969,153.06234741210938,1770570
2000-01-13,269.8999938964844,285.9649963378906,265.0,278.6650085449219,161.08889770507812,2545080
2000-01-14,275.0,277.70001220703125,265.0,270.2099914550781,156.20126342773438,1202400
2000-01-17,274.8900146484375,275.0,254.50999450683594,259.82501220703125,150.19805908203125,965390
2000-01-18,259.70001220703125,260.79998779296875,254.60000610351562,256.1449890136719,148.07069396972656,894390
2000-01-19,257.5,260.0,250.10000610351562,252.89500427246094,146.19198608398438,1186660
2000-01-20,252.5,253.5,251.5,252.44000244140625,145.92893981933594,1215590
2000-01-21,254.0,259.5,253.66000366210938,254.80999755859375,147.29896545410156,750120
2000-01-24,255.0,264.8999938964844,254.10000610351562,257.8500061035156,149.05630493164062,711990
2000-01-25,259.7699890136719,259.7699890136719,254.60000610351562,255.2050018310547,147.52731323242188,540930
2000-01-26,255.2050018310547,255.2050018310547,255.2050018310547,255.2050018310547,147.52731323242188,0
2000-01-27,262.0,268.0,253.89999389648438,255.96499633789062,147.96661376953125,926470
2000-01-28,252.5,256.4800109863281,249.0,252.375,145.89134216308594,464210
2000-01-31,244.5,249.39999389648438,240.10000610351562,244.0,141.0499725341797,690790
2000-02-01,241.5,241.5,228.5,232.6699981689453,134.50038146972656,1174420
2000-02-02,240.0,249.89999389648438,237.5,240.69500732421875,139.1394500732422,983250
2000-02-03,242.8000030517578,245.10000610351562,235.89999389648438,243.7899932861328,140.92857360839844,583650
2000-02-04,243.97999572753906,243.97999572753906,232.5,234.6750030517578,135.65951538085938,333800
2000-02-07,234.5,235.5,227.5,230.89500427246094,133.474365234375,367640
2000-02-08,230.0,233.4499969482422,230.0,230.69500732421875,133.35873413085938,417900
2000-02-09,244.0,248.0,236.5,241.80999755859375,139.78399658203125,675040
2000-02-10,238.125,244.5,232.0,233.11000061035156,134.75479125976562,878920
2000-02-11,239.5,244.99000549316406,230.6999969482422,237.64999389648438,137.37924194335938,1568670
2000-02-14,237.0,241.5,229.6999969482422,230.02999877929688,132.9743194580078,578030
2000-02-15,231.0,235.98500061035156,228.0,230.1999969482422,133.07257080078125,715130
2000-02-16,240.0,241.0,230.0,231.10499572753906,133.5957489013672,907290
2000-02-17,234.6999969482422,234.6999969482422,231.0,232.7050018310547,134.52059936523438,620800
2000-02-18,232.7899932861328,251.3249969482422,231.5,251.3000030517578,145.26991271972656,2380600
2000-02-21,266.3999938964844,271.4049987792969,260.1000061035156,271.4049987792969,156.89210510253906,3437360
2000-02-22,292.0,293.1199951171875,292.0,293.1199951171875,169.4449005126953,1153490
2000-02-23,316.57000732421875,316.57000732421875,276.5,287.5899963378906,166.2482452392578,5542040
2000-02-24,299.79998779296875,310.6000061035156,292.5,308.67498779296875,178.43687438964844,2852320
